answer_llm,answer_orig,document,question,course
"Yes. You can sign up for the course on the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials.","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Where can I sign up for the course?,machine-learning-zoomcamp
Answer: You can sign up for the Machine Learning Zoomcamp by following the link provided in the GitHub repository: https://airtable.com/shryxwLd0COOEaqXo.,"Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Can you provide a link to sign up?,machine-learning-zoomcamp
"Yes, there is an FAQ for the Machine Learning course. It can be found in the course's GitHub repository.","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Is there an FAQ for this Machine Learning course?,machine-learning-zoomcamp
"Yes, you can create your own GitHub repository for the course with your notes, homework, projects, etc. Then, fork the original course repository and add a link under the 'Community Notes' section to the notes in your own repository. After that, create a pull request to sync your fork with the original course repository.","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Does this course have a GitHub repository for the sign-up link?,machine-learning-zoomcamp
"To structure your questions and answers for the course, you can follow these guidelines:

1. **General Course-Related Questions:**


  * **How long is the course?**


	  + The course is approximately 4 months long. However, it may take longer if you choose to engage in extra activities such as an additional project or article.
		
  * **How much time do I need for this course?**


	  + You will need around ~10 hours per week to complete the course. This estimation is based on a detailed analysis of the time spent by students in the previous cohort on various modules and projects.
		
  * **I just joined. What should I do next? How can I access course materials?**


	  + Welcome to the course! Start by visiting the course page (http://mlzoomcamp.com/) and scrolling down to begin going through the course materials. Read everything in the cohort folder for your cohort’s year. Click on the links to watch the videos and office hours from previous cohorts. Visit the DTC YouTube channel, click on Playlists, and search for {course yyyy}. You can also use this link: http://mlzoomcamp.com/#syllabus.


2. **Miscellaneous Questions:**


  * **Can I do the course in other languages, like R or Scala?**


	  + Technically, yes, but it is not advisable. Some homework assignments require specific Python library versions, and answers in multiple-choice questions may not match if using languages other than Python 3.10 (the recommended version for the 2023 cohort). Additionally, your peer-reviewers may not be familiar with other languages. While you can create a separate repository using the course’s lessons in other languages for your own learning, it is not advisable for submissions.","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,How can I structure my questions and answers for the course?,machine-learning-zoomcamp
"No, the course videos are pre-recorded. You can start watching the course right now.","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Are the course videos live or pre-recorded?,machine-learning-zoomcamp
"You can start watching the course videos right now. The course is available in the self-paced mode, so you can go through the materials at any time.","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,When can I start watching the course videos?,machine-learning-zoomcamp
"Yes, the live office hours sessions are recorded.","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Are the live office hours sessions recorded?,machine-learning-zoomcamp
"Office hours are live sessions where you can ask questions, and they are recorded. You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Where can I find the office hours sessions?,machine-learning-zoomcamp
The course videos are pre-recorded and can be accessed on the course page (http://mlzoomcamp.com/). Scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year. Click on the links and start watching the videos. You can also watch office hours from previous cohorts. Go to the DTC YouTube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021. Or you can use this link: http://mlzoomcamp.com/#syllabus.,"The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Where can I access the pre-recorded course videos?,machine-learning-zoomcamp
"Yes, everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and the questions will be covered during the live stream. Also, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp
"Yes, you can ask questions in advance if you cannot attend the live stream.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp
"If you miss a session, everything is recorded, so you won’t miss anything. You can ask questions in advance for office hours, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp
"Yes, you can always ask questions in Slack, and everything is recorded, so you won’t miss anything.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp
